generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
0,NaN,1.0199999999999994,206,0.006263476891991033,Inf,206,0.15061643733732474,Inf,206.0,0.11285995823195341,Inf,200,0.115487699,1
1,NaN,1.0198999999999991,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.98,0.03544754853462783,Inf,200,0.34134239899999996,1
2,NaN,1.019924999999999,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.985,0.03216664139379906,Inf,200,0.569346699,1
3,NaN,1.0199499999999992,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.99,0.030172015358939954,Inf,200,0.798531499,1
4,NaN,1.0199999999999994,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,206.0,0.028659409230556546,Inf,200,1.039030199,1
5,NaN,1.0199499999999992,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.99,0.02739866613257724,Inf,200,1.2707455989999998,1
6,NaN,1.0199249999999995,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.985,0.026227159214446166,Inf,200,1.4853418979999997,1
7,NaN,1.0198999999999996,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.98,0.025070107318709223,Inf,200,1.6982930989999998,1
8,NaN,1.0199249999999995,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.985,0.02391336801416203,Inf,200,1.9085822999999997,1
9,NaN,1.0199499999999995,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.99,0.022912786307914917,Inf,200,2.127819399,1
10,NaN,1.0199999999999994,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,206.0,0.022051743712964957,Inf,200,2.3423599989999997,1
11,NaN,1.0199999999999996,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,206.0,0.02128612870681419,Inf,200,2.5528886989999995,1
12,NaN,1.0199749999999994,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.995,0.020563316100942853,Inf,200,2.7712387999999994,1
13,NaN,1.0199749999999996,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.995,0.019687531252629457,Inf,200,2.9950230999999996,1
14,NaN,1.0199749999999996,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.995,0.018822984022078385,Inf,200,3.2272763009999994,1
15,NaN,1.0189249999999996,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.975,0.017876345213462437,Inf,200,3.4489226009999996,1
16,NaN,1.0141749999999994,206,0.006263476891991033,Inf,206,0.006263476891991033,Inf,205.965,0.017101770261599102,Inf,200,3.6772893009999996,1
17,NaN,0.9786999999999995,206,0.006007185322200458,Inf,206,0.006007185322200458,Inf,205.97,0.016165746143801923,Inf,200,3.8968457009999997,1
18,NaN,0.9517499999999995,206,0.006007185322200458,Inf,206,0.006007185322200458,Inf,205.96,0.01532197130183866,Inf,200,4.124202701,1
19,NaN,0.9081749999999996,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.965,0.014005512627785446,Inf,200,4.342320100999999,1
20,NaN,0.8779999999999998,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.97,0.013081824362484326,Inf,200,4.557267001,1
21,NaN,0.8311749999999998,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.975,0.012038955378332977,Inf,200,4.775165401,1
22,NaN,0.8038499999999997,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.98,0.011080183001900688,Inf,200,4.996431102,1
23,NaN,0.7845749999999997,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.995,0.010343746443189517,Inf,200,5.217363903,1
24,NaN,0.7490749999999997,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.985,0.009634323186780343,Inf,200,5.442645303,1
25,NaN,0.7421499999999998,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,205.99,0.008968658965597443,Inf,200,5.675637704,1
26,NaN,0.7341999999999997,206,0.005042631289075175,Inf,206,0.005042631289075175,Inf,206.0,0.00842486239273572,Inf,200,5.906033002999999,1
27,NaN,0.7228749999999998,206,0.004509210812392724,Inf,206,0.004509210812392724,Inf,205.995,0.007944489246884057,Inf,200,6.149532503,1
28,NaN,0.7011499999999998,206,0.004509210812392724,Inf,206,0.004509210812392724,Inf,205.99,0.007541429748091335,Inf,200,6.374443403,1
29,NaN,0.7024749999999998,206,0.004509210812392724,Inf,206,0.004509210812392724,Inf,205.995,0.007195173347359108,Inf,200,6.600538102,1
30,NaN,0.6905249999999998,206,0.004509210812392724,Inf,206,0.004509210812392724,Inf,205.985,0.006893198083719385,Inf,200,6.826572402,1
