generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
0,NaN,0.24999999999999978,52,5.594598321307909,Inf,52,12.76043753588052,Inf,52.0,12.921078443352293,Inf,200,1.3620505,1
1,NaN,0.24997499999999984,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.995,11.548042491772986,Inf,200,1.7187456,1
2,NaN,0.2499749999999998,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.995,10.998286578487,Inf,200,1.7502620000000002,1
3,NaN,0.24989999999999984,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.98,10.578992973794227,Inf,200,1.7727682000000002,1
4,NaN,0.2499249999999998,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.985,10.255442109458038,Inf,200,1.7962720000000003,1
5,NaN,0.24989999999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.98,9.96891906456475,Inf,200,1.8193530000000002,1
6,NaN,0.24992499999999981,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.985,9.658004556429844,Inf,200,1.8392501,1
7,NaN,0.24989999999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.98,9.369786186189266,Inf,200,1.8601354,1
8,NaN,0.2497499999999998,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.95,9.115620280628667,Inf,200,1.8814320000000002,1
9,NaN,0.2498249999999998,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.965,8.880022626193277,Inf,200,1.9065643000000003,1
10,NaN,0.24987499999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.975,8.71404201902563,Inf,200,1.9266516990000002,1
11,NaN,0.2499249999999998,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.985,8.53690936012778,Inf,200,1.9471106990000002,1
12,NaN,0.24987499999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.975,8.340947183832938,Inf,200,1.9671535990000002,1
13,NaN,0.24989999999999987,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.98,8.173042752925555,Inf,200,1.9899555990000002,1
14,NaN,0.24989999999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.98,8.028539512161212,Inf,200,2.0115858980000003,1
15,NaN,0.24987499999999982,52,5.594598321307909,Inf,52,5.594598321307909,Inf,51.975,7.863280069292972,Inf,200,2.033802699,1
