generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
0,NaN,0.24999999999999978,52,8.63354192179798,Inf,52,14.832075167561337,Inf,52.0,13.169519735587693,Inf,200,0.302668801,1
1,NaN,0.24999999999999978,52,8.63354192179798,Inf,52,8.63354192179798,Inf,52.0,11.598540361381449,Inf,200,0.6759658,1
2,NaN,0.24994999999999978,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.99,11.00735507992205,Inf,200,0.6975625,1
3,NaN,0.24989999999999982,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.98,10.59347026570577,Inf,200,0.7188545009999999,1
4,NaN,0.24987499999999987,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.975,10.223609102498799,Inf,200,0.740330301,1
5,NaN,0.24989999999999982,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.98,9.904227459936344,Inf,200,0.7587107009999999,1
6,NaN,0.24997499999999984,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.995,9.648061167257463,Inf,200,0.782104901,1
7,NaN,0.2499749999999998,52,8.289857377852655,Inf,52,8.289857377852655,Inf,51.995,9.403876493098675,Inf,200,0.801135602,1
8,NaN,0.24994999999999984,52,8.121864919988768,Inf,52,8.121864919988768,Inf,51.99,9.14928752637182,Inf,200,0.823880003,1
9,NaN,0.24992499999999981,52,8.121864919988768,Inf,52,8.121864919988768,Inf,51.985,8.947782627371344,Inf,200,0.8421432019999999,1
10,NaN,0.24994999999999984,52,7.796269107346017,Inf,52,7.796269107346017,Inf,51.99,8.76061062341727,Inf,200,0.8601648019999999,1
11,NaN,0.24989999999999982,52,7.741497706284689,Inf,52,7.741497706284689,Inf,51.98,8.610458530707128,Inf,200,0.8815419009999999,1
12,NaN,0.2499249999999998,52,7.730263451546644,Inf,52,7.730263451546644,Inf,51.985,8.468558497174739,Inf,200,0.9024694009999998,1
13,NaN,0.24989999999999982,52,7.617730677268596,Inf,52,7.617730677268596,Inf,51.98,8.349702261684365,Inf,200,0.9205238019999998,1
14,NaN,0.2499249999999998,52,7.572952836613864,Inf,52,7.572952836613864,Inf,51.985,8.2409294564745,Inf,200,0.9385654019999998,1
15,NaN,0.24989999999999987,52,7.482671067358086,Inf,52,7.482671067358086,Inf,51.98,8.118087504306546,Inf,200,0.9593051019999999,1
16,NaN,0.24992499999999984,52,7.267721484293314,Inf,52,7.267721484293314,Inf,51.985,8.014978825500629,Inf,200,0.9828921029999999,1
17,NaN,0.24992499999999984,52,7.267721484293314,Inf,52,7.267721484293314,Inf,51.985,7.904243113115717,Inf,200,1.0010435029999998,1
18,NaN,0.24994999999999978,52,7.083096135404935,Inf,52,7.083096135404935,Inf,51.99,7.804076184677939,Inf,200,1.0192442029999997,1
19,NaN,0.24999999999999986,52,7.083096135404935,Inf,52,7.083096135404935,Inf,52.0,7.719671364516063,Inf,200,1.0398063029999998,1
20,NaN,0.24999999999999986,52,7.083096135404935,Inf,52,7.083096135404935,Inf,52.0,7.6316395861255,Inf,200,1.0569596029999997,1
21,NaN,0.24992499999999984,52,7.083096135404935,Inf,52,7.083096135404935,Inf,51.985,7.546759233875089,Inf,200,1.0754246029999996,1
22,NaN,0.24994999999999984,52,6.938551712710152,Inf,52,6.938551712710152,Inf,51.99,7.465232751409598,Inf,200,1.0944181029999998,1
23,NaN,0.2498749999999999,52,6.704239527981115,Inf,52,6.704239527981115,Inf,51.985,7.377633843039453,Inf,200,1.1136368029999997,1
24,NaN,0.24939999999999984,52,6.704239527981115,Inf,52,6.704239527981115,Inf,51.98,7.303134340005358,Inf,200,1.1327779029999996,1
25,NaN,0.24862499999999987,52,6.704239527981115,Inf,52,6.704239527981115,Inf,51.975,7.226219676103548,Inf,200,1.1506419039999995,1
26,NaN,0.24654999999999988,52,6.704239527981115,Inf,52,6.704239527981115,Inf,51.99,7.139154847565404,Inf,200,1.1708121049999995,1
27,NaN,0.24544999999999986,52,6.704239527981115,Inf,52,6.704239527981115,Inf,51.98,7.079189311458521,Inf,200,1.1890273049999995,1
28,NaN,0.24614999999999987,52,6.594600462482818,Inf,52,6.594600462482818,Inf,51.99,7.008661085138852,Inf,200,1.2088900049999995,1
29,NaN,0.2453499999999999,52,6.594600462482818,Inf,52,6.594600462482818,Inf,51.99,6.949514052529732,Inf,200,1.2354555049999996,1
30,NaN,0.24347499999999989,52,6.55158146248162,Inf,52,6.55158146248162,Inf,51.995,6.899461744237571,Inf,200,1.2556917049999996,1
